"x","y","pop_250m_grid"
1746875,5425625,139.981684981685
1747125,5425625,119.189019935289
1747375,5425625,226.107567229519
1747625,5425625,300.753023812197
1747875,5425625,264.326845798012
1748125,5425625,158.081824279007
1748375,5425625,170
1748625,5425625,585.091976296796
1748875,5425625,258.325757575757
1749125,5425625,40.9090909090909
1750125,5425625,443.36837533483
1750375,5425625,315.883521746663
1750625,5425625,87.2727272727273
1752125,5425625,281.424864683339
1752375,5425625,174.477688390732
1752625,5425625,197.705917566459
1752875,5425625,263.130884265212
1753125,5425625,202.875147040651
1753375,5425625,47.4137931034483
1757875,5425625,9.46236559139785
1758125,5425625,120.645161290322
1758375,5425625,119.201228878648
1758625,5425625,2.14285714285714
1741125,5425875,4.69979296066253
1742875,5425875,9.27536231884058
1743125,5425875,9.27536231884058
1744875,5425875,2.31884057971015
1745125,5425875,2.31884057971015
1746375,5425875,14.4
1746625,5425875,102.707692307692
1746875,5425875,86.5437265437266
1747125,5425875,150.924676372438
1747375,5425875,261.571199234312
1747625,5425875,298.512988153399
1747875,5425875,275.569001476669
1748125,5425875,14.7619047619048
1748375,5425875,272.849965349965
1748625,5425875,720.422711296998
1748875,5425875,600.262595591543
1749875,5425875,7.77777777777778
1750125,5425875,220.427388915237
1750375,5425875,364.815223700935
1750625,5425875,261.499443804677
1750875,5425875,142.907509157509
1752125,5425875,56.1871468926553
1752375,5425875,223.46284880464
1752625,5425875,157.344300822562
1752875,5425875,284.106481781464
1753125,5425875,201.170632418963
1753375,5425875,34.9363977034414
1758125,5425875,43.3364055299539
1758375,5425875,294.714285714286
1758625,5425875,40.4761904761905
1741125,5426125,2.31884057971015
1741375,5426125,2.31884057971015
1743375,5426125,4.63768115942029
1743625,5426125,2.31884057971015
1743875,5426125,2.31884057971015
1746875,5426125,52.3095823095823
1747125,5426125,129.980193551622
1747375,5426125,275.905009276438
1747625,5426125,358.044164169164
1747875,5426125,128.015530629853
1748125,5426125,10.4761904761905
1748375,5426125,534.523292248291
1748625,5426125,254.087179487179
1748875,5426125,443.738892686261
1749125,5426125,244.392076502733
1749375,5426125,100.990566037736
1749625,5426125,47.3170731707317
1749875,5426125,36.2962962962963
1750125,5426125,340.815151032542
1750375,5426125,406.408654666719
1750625,5426125,332.788487165148
1750875,5426125,227.660714285714
1751125,5426125,245.64010989011
1752375,5426125,233.276140298557
1752625,5426125,91.64095371669
1752875,5426125,195.004391743522
1753125,5426125,123.014716062616
1753375,5426125,15.0980392156863
1758375,5426125,157.555183946488
1758625,5426125,127.021739130435
1741375,5426375,4.69979296066253
1741625,5426375,2.31884057971015
1743375,5426375,4.63768115942029
1743625,5426375,2.31884057971015
1744125,5426375,2.31884057971015
